processed_m4250_ME11_HV0_test40_SRCoff_170709_013857_TMBCounters.txt																																													
alct0 valid pattern flag received	alct1 valid pattern flag received	raw hits readout   	Pretrigger   	Pretrigger on CFEB0	Pretrigger on CFEB1	Pretrigger on CFEB2	Pretrigger on CFEB3	Pretrigger on CFEB4	Pretrigger on CFEB5	Pretrigger on CFEB6	Pretrigger on ME1A CFEB 4-6 only	Pretrigger on ME1B CFEBs 0-3 only	Discarded, CLCT0 invalid pattern after drift	BX pretrig waiting for triads to dissipate	clct0 sent to TMB matching section	clct1 sent to TMB matching section	TMB accepted alct	TMB match reject event  	Matching found one ALCT	Matching found one CLCT	Matching found two ALCTs	Matching found two CLCTs	ALCT0 copied into ALCT1 to make 2nd LCT	CLCT0 copied into CLCT1 to make 2nd LCT	LCT1 has higher quality than LCT0 	Transmitted LCT0 to MPC	Transmitted LCT1 to MPC	MPC rejected both LCT0 and LCT1	L1A received   	L1A received, TMB in L1A window	L1A received, no TMB in window	TMB triggered, no L1A in window	TMB readouts completed	Pretrigger counter   	CLCT counter   	TMB trigger counter	ALCTs received counter	L1As received counter 	Readout counter 	Orbit counter	CLCT pre-trigger and ALCT coincidence counter	CFEB0 active flag sent to DMB for readout	CFEB1 active flag sent to DMB for readout	CFEB2 active flag sent to DMB for readout	CFEB3 active flag sent to DMB for readout
25050	693	2048	20435	7678	6922	6298	0	258	259	244	710	19713	546	64890	19889	498	19839	50	19235	19341	604	498	173	279	89	19839	777	19839	2050	2047	3	17792	2047	20455	19900	19847	25141	2050	2047	104813	0	0	0	0	0
723	8	0	115	28	33	29	0	10	11	8	28	87	69	275	46	0	38	8	36	38	2	0	0	2	0	38	2	38	0	0	0	38	0	20570	19946	19885	25864	2050	2047	509265	0	0	0	0	0
24196	673	1869	19618	7242	6661	6117	0	236	233	247	673	18929	536	62257	19082	495	19037	45	18467	18542	570	495	184	259	63	19037	754	19037	1874	1869	5	17168	1869	40188	39028	38922	50060	3924	3916	563637	0	0	0	0	0
750	8	0	116	29	32	35	0	11	5	9	23	91	67	298	49	1	38	11	38	37	0	1	1	0	0	38	1	38	0	0	0	38	0	40304	39077	38960	50810	3924	3916	968078	0	0	0	0	0
23449	640	1921	19176	7214	6522	5848	0	237	240	204	649	18523	530	60690	18646	472	18596	50	18020	18124	576	472	173	277	67	18596	749	18596	1925	1921	4	16675	1921	59480	57723	57556	74259	1753	1741	1022451	0	0	0	0	0
781	14	0	122	22	40	38	0	9	8	7	24	98	71	305	51	1	41	10	40	40	1	1	1	1	1	41	2	41	0	0	0	41	0	59602	57774	57597	75040	1753	1741	1426903	0	0	0	0	0
24027	643	1964	19508	7265	6593	6040	0	243	236	240	665	18823	541	61974	18967	451	18916	51	18363	18465	553	451	169	271	57	18916	722	18916	1972	1964	8	16952	1964	79110	76741	76513	99067	3725	3705	1481276	0	0	0	0	0
732	14	0	119	30	43	25	0	9	8	8	25	94	76	289	43	1	36	7	34	35	2	1	1	2	0	36	3	36	0	0	0	36	0	79229	76784	76549	99799	3725	3705	1885719	0	0	0	0	0
23784	683	1888	19204	7203	6552	5940	0	229	222	242	641	18553	512	60999	18692	481	18654	38	18056	18173	598	481	155	272	75	18654	753	18654	1892	1887	5	16767	1887	98433	95476	95203	123583	1521	1496	1940102	0	0	0	0	0
694	8	0	105	28	23	36	0	6	7	9	21	84	61	255	44	0	36	8	36	36	0	0	0	0	0	36	0	36	0	0	0	36	0	98538	95520	95239	124277	1521	1496	2344543	0	0	0	0	0
24478	646	2014	19818	7431	6700	6100	0	250	271	238	719	19087	490	62996	19328	453	19283	45	18712	18830	571	453	135	253	75	19283	706	19283	2018	2008	10	17275	2008	118356	114848	114522	148755	3539	3504	2398917	0	0	0	0	0
732	10	0	132	33	40	37	0	9	9	9	26	106	80	331	52	6	45	7	41	39	4	6	2	0	1	45	6	45	0	0	0	45	0	118488	114900	114567	149487	3539	3504	2803357	0	0	0	0	0
24361	680	1967	19750	7449	6768	6015	0	259	208	249	674	19065	531	62576	19219	471	19163	56	18564	18692	599	471	167	295	73	19163	766	19163	1974	1966	8	17197	1966	138238	134119	133730	173848	1417	1374	2857733	0	0	0	0	0
732	12	0	101	32	22	29	0	8	7	5	19	81	62	248	39	0	30	9	28	30	2	0	0	2	0	30	2	30	0	0	0	30	0	138339	134158	133760	174580	1417	1374	3262181	0	0	0	0	0
24280	657	2020	19696	7314	6715	6094	0	236	230	249	672	19009	514	62633	19182	497	19137	45	18558	18640	579	497	173	255	67	19137	752	19137	2023	2017	6	17120	2017	158035	153340	152897	198860	3440	3391	3316554	0	0	0	0	0
793	9	0	138	34	47	31	0	11	10	7	28	110	88	330	50	0	38	12	37	38	1	0	0	1	0	38	1	38	0	0	0	38	0	158173	153390	152935	199653	3440	3391	3721007	0	0	0	0	0
23651	664	1973	19130	7154	6533	5918	0	210	235	253	648	18466	484	60783	18646	474	18602	44	18016	18128	586	474	155	267	74	18602	741	18602	1977	1972	5	16630	1972	177303	172036	171537	223305	1321	1267	3775380	0	0	0	0	0
723	8	0	120	26	33	42	0	15	4	5	22	97	68	296	52	2	45	7	43	43	2	2	0	0	1	45	2	45	0	0	0	45	0	177423	172088	171582	224028	1321	1267	4179822	0	0	0	0	0
