processed_m4115_ME21_HV0_test40_SRCoff_170516_132024_TMBCounters.txt																																													
alct0 valid pattern flag received	alct1 valid pattern flag received	raw hits readout   	Pretrigger   	Pretrigger on CFEB0	Pretrigger on CFEB1	Pretrigger on CFEB2	Pretrigger on CFEB3	Pretrigger on CFEB4	Pretrigger on CFEB5	Pretrigger on CFEB6	Pretrigger on ME1A CFEB 4-6 only	Pretrigger on ME1B CFEBs 0-3 only	Discarded, CLCT0 invalid pattern after drift	BX pretrig waiting for triads to dissipate	clct0 sent to TMB matching section	clct1 sent to TMB matching section	TMB accepted alct	TMB match reject event  	Matching found one ALCT	Matching found one CLCT	Matching found two ALCTs	Matching found two CLCTs	ALCT0 copied into ALCT1 to make 2nd LCT	CLCT0 copied into CLCT1 to make 2nd LCT	LCT1 has higher quality than LCT0 	Transmitted LCT0 to MPC	Transmitted LCT1 to MPC	MPC rejected both LCT0 and LCT1	L1A received   	L1A received, TMB in L1A window	L1A received, no TMB in window	TMB triggered, no L1A in window	TMB readouts completed	Pretrigger counter   	CLCT counter   	TMB trigger counter	ALCTs received counter	L1As received counter 	Readout counter 	Orbit counter	CLCT pre-trigger and ALCT coincidence counter	CFEB0 active flag sent to DMB for readout	CFEB1 active flag sent to DMB for readout	CFEB2 active flag sent to DMB for readout	CFEB3 active flag sent to DMB for readout
37210	1788	3117	32616	13360	9440	6185	5450	0	0	0	0	0	913	104007	31703	1342	31387	316	29810	30049	1577	1338	462	701	238	31387	2039	31387	3143	3104	39	28283	3104	32694	31746	31412	37434	3143	3104	104825	15536	15073	12041	8237	6374
1687	31	0	732	194	192	172	196	0	0	0	0	0	341	1924	391	11	250	141	237	241	13	9	2	6	1	250	15	250	0	0	0	250	0	33426	32137	31662	39124	3143	3104	509255	268	221	244	220	218
34197	1514	2831	29953	12218	8500	5773	5134	0	0	0	0	0	923	95351	29030	1223	28719	311	27399	27498	1320	1221	445	544	189	28719	1765	28719	2848	2818	30	25901	2818	63405	61193	60407	73349	1896	1827	563638	14228	13749	10961	7746	5916
1712	46	0	692	211	157	167	185	0	0	0	0	0	323	1798	369	11	230	139	211	220	19	10	3	12	0	230	22	230	0	0	0	230	0	64097	61562	60637	75062	1896	1827	968080	233	230	210	218	207
35010	1658	2942	30819	12749	8741	5828	5190	0	0	0	0	0	973	98266	29846	1286	29546	300	28076	28262	1470	1284	471	657	221	29546	1941	29546	2974	2935	39	26611	2935	94957	91446	90221	110117	777	669	1022453	14612	14397	11296	7825	5971
1694	35	0	681	189	182	176	169	0	0	0	0	0	334	1752	347	10	213	134	203	204	10	9	7	8	2	213	17	213	0	0	0	213	0	95638	91793	90434	111811	777	669	1426893	240	215	232	226	196
33281	1537	2775	29027	12034	8333	5440	4837	0	0	0	0	0	859	92600	28168	1190	27895	273	26548	26707	1347	1188	416	575	208	27895	1763	27895	2794	2771	23	25124	2771	124692	119987	118354	145122	3573	3442	1481271	13637	13535	10651	7294	5622
1693	42	0	692	188	169	178	175	0	0	0	0	0	314	1780	378	8	237	141	223	229	14	8	6	12	4	237	20	237	0	0	0	237	0	125384	120365	118591	146816	3573	3442	1885719	228	210	220	216	205
225	7	0	112	42	27	31	18	0	0	0	0	0	46	285	66	0	45	21	39	45	6	0	0	6	0	45	6	45	0	0	0	45	0	125496	120431	118636	147041	3573	3442	1940091	46	45	35	39	27
1699	42	0	712	178	190	188	177	0	0	0	0	0	337	1864	375	7	243	132	228	236	15	7	2	10	2	243	17	243	0	0	0	243	0	126208	120806	118879	148742	3573	3442	2344544	234	209	246	239	199
33026	1525	2876	28970	11919	8433	5501	4797	0	0	0	0	0	822	92444	28148	1176	27839	309	26487	26663	1352	1176	401	577	195	27839	1753	27839	2893	2870	23	24969	2870	155267	149039	146803	181875	2379	2225	2398917	13747	13393	10779	7328	5532
1691	34	0	705	185	158	172	208	0	0	0	0	0	311	1833	394	6	243	151	226	237	17	6	1	12	2	243	18	243	0	0	0	243	0	155972	149433	147046	183566	2379	2225	2803359	256	208	214	215	236
33549	1589	2866	29243	12103	8285	5522	4940	0	0	0	0	0	840	93401	28403	1210	28111	292	26707	26901	1404	1210	414	608	208	28111	1818	28111	2885	2856	29	25255	2856	185260	177880	175201	217168	1172	989	2857742	13648	13608	10680	7385	5719
1735	39	0	742	207	162	180	217	0	0	0	0	0	358	1917	384	7	233	151	216	227	17	6	1	12	2	233	18	233	0	0	0	233	0	186003	178265	175435	218905	1172	989	3262183	237	227	224	226	240
34295	1553	2888	29964	12389	8637	5598	4955	0	0	0	0	0	887	95628	29077	1177	28803	274	27427	27627	1376	1176	400	600	191	28803	1776	28803	2911	2881	30	25922	2881	215995	207370	204266	253234	4087	3874	3316557	13997	13978	10951	7500	5755
1766	30	0	711	200	174	161	197	0	0	0	0	0	310	1886	401	8	258	143	246	251	12	7	0	5	1	258	12	258	0	0	0	258	0	216707	207771	204524	255001	4087	3874	3720997	224	223	239	212	212
32744	1613	2704	28610	11849	8098	5413	4796	0	0	0	0	0	844	91281	27766	1226	27502	264	26072	26276	1430	1226	399	603	216	27502	1829	27502	2720	2693	27	24809	2693	245360	235578	232066	287792	2714	2474	3775381	13454	13285	10441	7217	5570
1737	25	0	703	180	174	160	206	0	0	0	0	0	323	1803	380	4	236	144	228	233	8	3	1	6	1	236	9	236	0	0	0	236	0	246063	235958	232302	289529	2714	2474	4179823	262	204	230	218	223
33808	1584	2780	29609	11990	8551	5642	5045	0	0	0	0	0	862	94360	28747	1225	28464	283	27054	27240	1410	1224	431	617	206	28464	1841	28464	2804	2766	38	25698	2766	275720	264752	260813	323389	1426	1148	4234195	14162	13519	10898	7589	5871
1639	25	0	684	181	187	162	185	0	0	0	0	0	311	1787	373	11	220	153	208	211	12	9	2	5	1	220	14	220	0	0	0	220	0	276404	265125	261033	325028	1426	1148	4638636	225	209	246	211	205
5146	215	383	4383	1835	1246	808	737	0	0	0	0	0	153	13909	4230	168	4167	63	3983	3999	184	168	61	77	35	4167	245	4167	384	382	2	3785	382	280884	269450	265294	330289	1818	1537	4693012	2069	2057	1604	1075	854
1696	37	0	704	190	183	166	188	0	0	0	0	0	342	1835	362	8	222	140	206	214	16	8	2	10	2	222	18	222	0	0	0	222	0	281588	269812	265516	331986	1818	1537	5097462	226	217	245	226	207
32583	1579	2751	28580	11722	8140	5400	4896	0	0	0	0	0	829	91357	27751	1149	27492	259	26117	26347	1375	1145	407	637	192	27492	1782	27492	2775	2740	35	24752	2740	310199	297594	293038	364607	498	182	5151834	13521	13221	10469	7214	5699
1719	28	0	711	188	198	177	177	0	0	0	0	0	332	1826	379	11	245	134	234	234	11	11	6	6	4	245	17	245	0	0	0	245	0	310910	297973	293283	366326	498	182	5556287	276	215	242	228	204
32948	1589	2724	28922	11838	8212	5517	4947	0	0	0	0	0	855	92228	28067	1213	27760	307	26357	26551	1403	1209	403	597	223	27760	1806	27760	2744	2717	27	25043	2717	339890	326097	321100	399345	3249	2906	5610660	13708	13287	10460	7314	5756
1687	22	0	701	178	166	188	191	0	0	0	0	0	346	1822	355	5	222	133	212	218	10	4	2	8	1	222	12	222	0	0	0	222	0	340591	326452	321322	401033	3249	2906	6015102	247	207	222	228	229
